Employee_ID,Tasks_Assigned,Task_Difficulty,Hours_Worked,Deadline_Days
1,7,7,57,27
2,12,5,48,2
3,7,4,44,15
4,12,4,44,29
5,5,4,33,26
6,9,6,36,21
7,8,8,42,14
8,9,8,32,5
9,12,5,45,6
10,14,6,38,6
11,19,4,37,22
12,18,9,49,18
13,8,8,42,14
14,15,1,46,10
15,8,2,46,14
16,19,9,46,13
17,7,8,30,3
18,11,3,37,6
19,7,8,48,29
20,16,1,35,8
21,7,4,32,12
22,15,3,56,13
23,14,6,34,11
24,9,7,42,12
25,9,4,44,1
26,18,7,43,17
27,10,9,58,16
28,12,2,52,11
29,14,3,45,13
30,10,5,47,18
31,19,3,51,11
32,16,8,58,28
33,5,8,51,12
34,19,8,40,6
35,12,9,32,9
36,12,4,51,16
37,13,5,39,4
38,13,5,39,3
39,6,8,59,28
40,19,7,50,16
41,6,9,45,24
42,7,8,41,27
43,5,2,31,26
44,8,4,38,25
45,18,6,53,12
46,8,2,32,11
47,18,7,53,5
48,13,3,59,25
49,13,3,54,18
50,13,2,59,19
51,14,8,44,23
52,11,6,32,23
53,18,1,48,6
54,19,1,47,22
55,6,7,37,18
56,14,8,55,26
57,9,5,46,6
58,8,5,37,4
59,16,4,36,12
60,15,6,59,19
61,12,6,36,29
62,6,3,32,27
63,10,9,30,29
64,17,7,33,2
65,9,1,54,17
66,19,7,34,11
67,16,5,30,11
68,6,5,44,21
69,15,2,34,16
70,14,4,42,2
71,19,6,37,2
72,5,7,37,23
73,12,5,34,8
74,6,9,57,13
75,11,3,38,10
76,13,1,30,8
77,13,4,33,4
78,12,9,32,15
79,15,4,31,1
80,18,2,37,11
81,16,5,52,7
82,14,3,38,17
83,13,9,31,27
84,6,4,43,20
85,10,6,43,24
86,8,2,33,18
87,18,6,59,22
88,8,3,35,29
89,9,9,40,22
90,16,2,32,12
91,7,9,37,9
92,18,5,32,5
93,5,8,43,10
94,12,2,57,4
95,9,6,42,5
96,7,3,42,28
97,14,5,31,28
98,18,8,42,10
99,11,1,58,11
100,11,5,48,21
101,5,3,56,24
102,16,4,35,10
103,13,2,45,28
104,19,9,31,8
105,6,3,37,2
106,9,2,46,23
107,17,9,52,8
108,18,7,31,16
109,9,6,39,27
110,18,1,57,22
111,12,5,45,5
112,18,3,35,27
113,12,1,57,25
114,18,4,31,29
115,11,2,31,3
116,11,2,55,12
117,16,3,42,13
118,15,8,53,13
119,10,8,44,10
120,10,7,57,4
121,15,6,31,9
122,13,9,36,22
123,10,4,32,24
124,16,1,37,23
125,17,8,52,27
126,17,7,43,2
127,6,7,53,19
128,6,3,59,1
129,17,4,52,25
130,9,9,56,29
131,19,6,51,7
132,8,5,58,17
133,15,3,36,3
134,6,9,50,20
135,19,5,36,20
136,19,5,30,21
137,7,4,46,3
138,11,4,38,3
139,12,1,59,17
140,16,7,50,7
141,17,9,42,27
142,10,3,50,26
143,15,2,48,14
144,9,3,50,17
145,17,1,48,18
146,5,6,54,13
147,12,7,54,20
148,7,2,51,29
149,19,8,46,20
150,10,6,52,21
151,7,4,52,27
152,11,5,59,18
153,17,8,39,4
154,18,3,39,1
155,11,3,33,18
156,16,4,37,1
157,19,1,51,26
158,13,9,49,26
159,9,8,49,13
160,19,8,47,20
161,12,6,43,20
162,14,7,47,23
163,14,6,57,10
164,12,9,43,27
165,5,3,49,11
166,16,3,50,9
167,9,3,53,9
168,7,3,44,5
169,5,9,51,26
170,8,4,59,1
171,12,7,33,17
172,7,9,42,22
173,14,7,56,2
174,6,9,52,24
175,15,3,37,13
176,13,4,47,9
177,14,8,41,29
178,9,6,52,4
179,18,5,43,5
180,11,4,31,11
181,15,8,47,24
182,15,1,53,19
183,6,9,31,21
184,13,1,40,3
185,17,8,38,12
186,13,4,41,26
187,8,9,46,19
188,8,5,44,19
189,10,3,54,13
190,14,9,46,28
191,14,9,55,7
192,14,4,58,15
193,10,4,55,23
194,16,8,47,7
195,5,2,51,26
196,18,9,35,8
197,18,6,46,5
198,13,9,52,21
199,6,8,53,14
200,9,7,47,4
201,13,1,37,23
202,8,3,38,10
203,15,2,35,20
204,7,5,34,15
205,19,5,41,18
206,11,5,54,20
207,10,4,58,13
208,12,5,57,29
209,7,3,40,8
210,9,1,54,9
211,14,5,30,16
212,8,9,40,19
213,19,9,48,16
214,17,4,38,7
215,8,3,56,14
216,8,1,31,28
217,14,2,41,14
218,12,8,33,25
219,10,1,33,27
220,7,8,47,4
221,14,7,44,26
222,9,8,48,15
223,10,6,42,3
224,9,9,48,5
225,10,3,46,1
226,12,4,35,3
227,11,6,45,15
228,9,8,53,24
229,14,5,41,27
230,10,3,48,8
231,18,6,34,29
232,8,4,46,4
233,16,9,55,2
234,13,3,52,29
235,17,4,55,24
236,8,7,58,24
237,5,7,30,10
238,11,4,57,4
239,11,6,56,3
240,8,3,54,2
241,17,6,53,25
242,18,2,52,17
243,7,8,39,23
244,12,2,44,21
245,9,7,52,24
246,14,9,50,20
247,11,1,50,23
248,8,8,40,13
249,8,7,42,5
250,12,6,34,21
251,18,6,30,9
252,12,6,53,25
253,6,9,41,29
254,18,2,40,25
255,6,1,46,28
